siren_clean,departement,commune_insee
300705241,59,
300705514,62,
300705605,62,
300705761,44,
300705779,49,
300705803,62,
300717022,59,
300717246,64,
300717345,44,
300717717,47,
300718210,86,
300718590,44,
300718970,72,
300724945,54,
300725132,33,
300725421,33,
300725918,16,
300734936,71,
300735388,83,
300735461,39,
300736006,29,
300747029,71,
300747391,92,
300749025,25,
300749058,28,
300749132,05,
300749363,01,
300758265,76,
300758471,73,
300758521,61,
300758653,42,
300759396,27,
300759404,14,
300759461,14,
300759545,13,
300759586,13,
300759883,06,
300760014,05,
300772290,59,
300772662,32,
300773140,82,
300773413,75,
300773504,94,
300773603,76,
300773678,32,
300773769,16,
300774353,62,
300774361,13,
300774395,59,
300774403,62,
300774486,64,
300774767,11,
300794278,92,
300794385,74,
300794427,74,
300794583,73,
300794666,38,
300794880,69,
300795176,66,
300795226,44,
300795358,69,
300795481,44,
300795648,69,
300795960,42,
300796067,64,
300796224,38,
300796232,29,
300796554,25,
300797081,65,
300797644,34,
300798477,49,
300798568,07,
300798733,59,
300815966,38,
300816287,75,
300817178,94,
300817319,85,
300817665,93,
300818010,78,
300818044,70,
300818127,75,
300818390,11,
300818580,76,
300818747,74,
300818861,74,
300818903,71,
300818911,75,
300819463,71,
300819513,69,
300819695,66,
300819737,69,
300819745,69,
300820107,69,
300820198,66,
300820354,69,
300820826,56,
300821311,69,
300821873,38,
300822087,42,
300822186,49,
300822335,58,
300822541,49,
300822715,44,
300822723,49,
300822772,50,
300822988,26,
300823226,21,
300823317,21,
300823390,69,
300823531,15,
300823655,01,
300823697,26,
300823762,01,
300824034,26,
300824208,33,
300846193,89,
300846292,95,
300846532,70,
300846540,70,
300846565,72,
300846581,70,
300846656,71,
300846797,70,
300846979,68,
300847159,63,
300847290,77,
300847316,70,
300847373,62,
300847514,59,
300848041,59,
300848116,38,
300848348,39,
300848983,34,
300849635,21,
300849734,25,
300849817,14,
300849858,27,
300849890,75,
300850104,44,
300850179,33,
300850534,25,
300850625,03,
300853793,33,
300853900,58,
300854064,68,
300854106,39,
300854197,25,
300862562,87,
300862794,89,
300863370,39,
300863685,25,
300863990,14,
300864188,04,
300880705,75,
300881240,64,
300881265,64,
300881737,47,
300881968,44,
300881984,47,
300882016,44,
300882032,93,
300882073,44,
300882099,72,
300882115,80,
300882131,47,
300882313,42,
300882321,69,
300882610,13,
300882834,03,
300882859,33,
300883295,33,
300883378,33,
300883444,40,
300883485,42,
300883543,27,
300897808,88,
300897964,84,
300898046,84,
300898160,67,
300898400,77,
300898764,69,
300898913,69,
300899267,54,
300899382,73,
300899580,75,
300899838,59,
300900404,59,
300900420,38,
300900446,38,
300900552,72,
300914975,77,
300914991,67,
300915063,84,
300915253,59,
300915402,64,
300915543,06,
300915600,93,
300915659,62,
300915865,67,
300916392,53,
300916889,49,
300916897,49,
300916996,49,
300917119,77,
300917648,33,
300917937,40,
300918307,17,
300919065,13,
300919339,19,
300937422,81,
300938198,75,
300938834,83,
300938958,75,
300939063,87,
300939113,94,
300939147,49,
300939691,40,
300939782,38,
300939873,33,
300940186,40,
300940236,30,
300940681,19,
300940939,47,
300940970,16,
300960622,92,
300960754,93,
300961018,92,
300961356,87,
300961372,93,
300962651,84,
300963071,95,
300963915,92,
300964616,92,
300964715,69,
300964772,75,
300964798,69,
300965225,62,
300965258,33,
300965340,59,
300965514,34,
300965928,42,
300965951,62,
300966835,16,
300966868,06,
300967221,01,
300967239,12,
300967361,06,
300967601,13,
300983426,77,
300983459,92,
300983483,91,
300983517,75,
300983525,27,
300983921,86,
300984184,70,
300984333,75,
300984481,75,
300984515,75,
300984580,81,
300984598,71,
300984846,75,
300985058,81,
300985207,74,
300985397,75,
300985462,75,
300985652,74,
300985850,92,
300985926,75,
300986239,94,
300986379,64,
300986585,64,
300986619,69,
300986684,69,
300986718,65,
300986742,78,
300986981,54,
300987468,59,
300987575,55,
300987583,55,
300987716,57,
300988284,33,
300988292,38,
300988557,42,
300988953,22,
300989001,21,
300989035,21,
300989324,16,
300990165,06,
300990306,02,
300990454,59,
300990611,03,
300990629,03,
300990686,30,
301009130,83,
301009940,78,
301010211,92,
301010492,38,
301010708,67,
301010740,92,
301011060,64,
301011805,47,
301011870,48,
301013025,25,
301013033,75,
301013058,24,
301013124,74,
301013165,56,
301013173,13,
301026498,95,
301026571,95,
301026696,92,
301027066,77,
301027090,33,
301027124,77,
301027132,27,
301027314,94,
301027405,78,
301027421,06,
301027694,75,
301027777,75,
301028387,92,
301028569,38,
301028791,75,
301029153,75,
301029245,56,
301029351,44,
301029419,75,
301029476,56,
301029542,35,
301029633,21,
301029831,22,
301029856,78,
301029922,29,
301029955,54,
301030227,49,
301030888,49,
301030938,06,
301051298,78,
301051678,75,
301051876,75,
301052429,75,
301052510,75,
301052783,75,
301052809,75,
301052981,75,
301053583,26,
301053625,92,
301053682,59,
301053773,59,
301054862,09,
301055489,51,
